team,seasonStartYear,revenue
Cleveland Cavaliers,2010,$161M
Utah Jazz,2010,$121M
Philadelphia 76ers,2010,$110M
Oklahoma City Thunder,2010,$118M
Washington Wizards,2010,$107M
Denver Nuggets,2010,$113M
New Jersey Nets,2010,$89M
Los Angeles Clippers,2010,$102M
Atlanta Hawks,2010,$105M
Sacramento Kings,2010,$103M
Charlotte Bobcats,2010,$98M
New Orleans Hornets,2010,$100M
Indiana Pacers,2010,$95M
Memphis Grizzlies,2010,$92M
Minnesota Timberwolves,2010,$95M
Milwaukee Bucks,2010,$92M
Atlanta Hawks,2011,$109M
Boston Celtics,2011,$146M
Brooklyn Nets,2011,$89M
Charlotte Hornets,2011,$101M
Chicago Bulls,2011,$185M
Cleveland Cavaliers,2011,$149M
Dallas Mavericks,2011,$166M
Denver Nuggets,2011,$113M
Detroit Pistons,2011,$141M
Golden State Warriors,2011,$139M
Houston Rockets,2011,$150M
Indiana Pacers,2011,$101M
Los Angeles Clippers,2011,$108M
Los Angeles Lakers,2011,$208M
Memphis Grizzlies,2011,$99M
Miami Heat,2011,$158M
Milwaukee Bucks,2011,$92M
Minnesota Timberwolves,2011,$97M
New Orleans Pelicans,2011,$109M
New York Knicks,2011,$244M
Oklahoma City Thunder,2011,$126M
Orlando Magic,2011,$140M
Philadelphia 76ers,2011,$116M
Phoenix Suns,2011,$136M
Portland Trail Blazers,2011,$132M
Sacramento Kings,2011,$104M
San Antonio Spurs,2011,$139M
Toronto Raptors,2011,$134M
Utah Jazz,2011,$120M
Washington Wizards,2011,$109M
Atlanta Hawks,2012,$99M
Boston Celtics,2012,$143M
Brooklyn Nets,2012,$84M
Charlotte Hornets,2012,$93M
Chicago Bulls,2012,$162M
Cleveland Cavaliers,2012,$128M
Dallas Mavericks,2012,$137M
Denver Nuggets,2012,$110M
Detroit Pistons,2012,$125M
Golden State Warriors,2012,$127M
Houston Rockets,2012,$135M
Indiana Pacers,2012,$98M
Los Angeles Clippers,2012,$108M
Los Angeles Lakers,2012,$197M
Memphis Grizzlies,2012,$96M
Miami Heat,2012,$150M
Milwaukee Bucks,2012,$78M
Minnesota Timberwolves,2012,$96M
New Orleans Pelicans,2012,$100M
New York Knicks,2012,$243M
Oklahoma City Thunder,2012,$127M
Orlando Magic,2012,$126M
Philadelphia 76ers,2012,$107M
Phoenix Suns,2012,$121M
Portland Trail Blazers,2012,$117M
Sacramento Kings,2012,$96M
San Antonio Spurs,2012,$135M
Toronto Raptors,2012,$121M
Utah Jazz,2012,$111M
Washington Wizards,2012,$102M
Atlanta Hawks,2013,$119M
Boston Celtics,2013,$169M
Brooklyn Nets,2013,$190M
Charlotte Hornets,2013,$115M
Chicago Bulls,2013,$195M
Cleveland Cavaliers,2013,$145M
Dallas Mavericks,2013,$162M
Denver Nuggets,2013,$124M
Detroit Pistons,2013,$139M
Golden State Warriors,2013,$160M
Houston Rockets,2013,$191M
Indiana Pacers,2013,$121M
Los Angeles Clippers,2013,$128M
Los Angeles Lakers,2013,$295M
Memphis Grizzlies,2013,$126M
Miami Heat,2013,$188M
Milwaukee Bucks,2013,$109M
Minnesota Timberwolves,2013,$116M
New Orleans Pelicans,2013,$116M
New York Knicks,2013,$287M
Oklahoma City Thunder,2013,$144M
Orlando Magic,2013,$139M
Philadelphia 76ers,2013,$117M
Phoenix Suns,2013,$137M
Portland Trail Blazers,2013,$140M
Sacramento Kings,2013,$115M
San Antonio Spurs,2013,$167M
Toronto Raptors,2013,$149M
Utah Jazz,2013,$131M
Washington Wizards,2013,$122M
Atlanta Hawks,2014,$133M
Boston Celtics,2014,$173M
Brooklyn Nets,2014,$212M
Charlotte Hornets,2014,$130M
Chicago Bulls,2014,$201M
Cleveland Cavaliers,2014,$149M
Dallas Mavericks,2014,$168M
Denver Nuggets,2014,$136M
Detroit Pistons,2014,$144M
Golden State Warriors,2014,$168M
Houston Rockets,2014,$175M
Indiana Pacers,2014,$139M
Los Angeles Clippers,2014,$146M
Los Angeles Lakers,2014,$293M
Memphis Grizzlies,2014,$135M
Miami Heat,2014,$188M
Milwaukee Bucks,2014,$110M
Minnesota Timberwolves,2014,$128M
New Orleans Pelicans,2014,$131M
New York Knicks,2014,$278M
Oklahoma City Thunder,2014,$152M
Orlando Magic,2014,$143M
Philadelphia 76ers,2014,$125M
Phoenix Suns,2014,$145M
Portland Trail Blazers,2014,$153M
Sacramento Kings,2014,$125M
San Antonio Spurs,2014,$172M
Toronto Raptors,2014,$151M
Utah Jazz,2014,$142M
Washington Wizards,2014,$143M
Atlanta Hawks,2015,$142M
Boston Celtics,2015,$181M
Brooklyn Nets,2015,$220M
Charlotte Hornets,2015,$142M
Chicago Bulls,2015,$228M
Cleveland Cavaliers,2015,$191M
Dallas Mavericks,2015,$177M
Denver Nuggets,2015,$140M
Detroit Pistons,2015,$154M
Golden State Warriors,2015,$201M
Houston Rockets,2015,$237M
Indiana Pacers,2015,$138M
Los Angeles Clippers,2015,$176M
Los Angeles Lakers,2015,$304M
Memphis Grizzlies,2015,$147M
Miami Heat,2015,$180M
Milwaukee Bucks,2015,$126M
Minnesota Timberwolves,2015,$146M
New Orleans Pelicans,2015,$142M
New York Knicks,2015,$307M
Oklahoma City Thunder,2015,$157M
Orlando Magic,2015,$143M
Philadelphia 76ers,2015,$124M
Phoenix Suns,2015,$154M
Portland Trail Blazers,2015,$157M
Sacramento Kings,2015,$141M
San Antonio Spurs,2015,$170M
Toronto Raptors,2015,$163M
Utah Jazz,2015,$146M
Washington Wizards,2015,$146M
Atlanta Hawks,2016,$169M
Boston Celtics,2016,$200M
Brooklyn Nets,2016,$223M
Charlotte Hornets,2016,$158M
Chicago Bulls,2016,$232M
Cleveland Cavaliers,2016,$233M
Dallas Mavericks,2016,$194M
Denver Nuggets,2016,$157M
Detroit Pistons,2016,$172M
Golden State Warriors,2016,$305M
Houston Rockets,2016,$244M
Indiana Pacers,2016,$157M
Los Angeles Clippers,2016,$185M
Los Angeles Lakers,2016,$333M
Memphis Grizzlies,2016,$155M
Miami Heat,2016,$210M
Milwaukee Bucks,2016,$146M
Minnesota Timberwolves,2016,$154M
New Orleans Pelicans,2016,$156M
New York Knicks,2016,$376M
Oklahoma City Thunder,2016,$187M
Orlando Magic,2016,$166M
Philadelphia 76ers,2016,$140M
Phoenix Suns,2016,$173M
Portland Trail Blazers,2016,$178M
Sacramento Kings,2016,$164M
San Antonio Spurs,2016,$187M
Toronto Raptors,2016,$193M
Utah Jazz,2016,$164M
Washington Wizards,2016,$155M
Atlanta Hawks,2017,$209M
Boston Celtics,2017,$257M
Brooklyn Nets,2017,$273M
Charlotte Hornets,2017,$202M
Chicago Bulls,2017,$281M
Cleveland Cavaliers,2017,$280M
Dallas Mavericks,2017,$233M
Denver Nuggets,2017,$202M
Detroit Pistons,2017,$221M
Golden State Warriors,2017,$359M
Houston Rockets,2017,$296M
Indiana Pacers,2017,$205M
Los Angeles Clippers,2017,$257M
Los Angeles Lakers,2017,$371M
Memphis Grizzlies,2017,$206M
Miami Heat,2017,$253M
Milwaukee Bucks,2017,$179M
Minnesota Timberwolves,2017,$204M
New Orleans Pelicans,2017,$204M
New York Knicks,2017,$426M
Oklahoma City Thunder,2017,$222M
Orlando Magic,2017,$211M
Philadelphia 76ers,2017,$184M
Phoenix Suns,2017,$218M
Portland Trail Blazers,2017,$223M
Sacramento Kings,2017,$240M
San Antonio Spurs,2017,$259M
Toronto Raptors,2017,$250M
Utah Jazz,2017,$221M
Washington Wizards,2017,$222M
Atlanta Hawks,2018,$215M
Boston Celtics,2018,$287M
Brooklyn Nets,2018,$290M
Charlotte Hornets,2018,$213M
Chicago Bulls,2018,$287M
Cleveland Cavaliers,2018,$302M
Dallas Mavericks,2018,$287M
Denver Nuggets,2018,$222M
Detroit Pistons,2018,$235M
Golden State Warriors,2018,$401M
Houston Rockets,2018,$326M
Indiana Pacers,2018,$222M
Los Angeles Clippers,2018,$258M
Los Angeles Lakers,2018,$395M
Memphis Grizzlies,2018,$213M
Miami Heat,2018,$259M
Milwaukee Bucks,2018,$204M
Minnesota Timberwolves,2018,$223M
New Orleans Pelicans,2018,$214M
New York Knicks,2018,$443M
Oklahoma City Thunder,2018,$241M
Orlando Magic,2018,$223M
Philadelphia 76ers,2018,$268M
Phoenix Suns,2018,$235M
Portland Trail Blazers,2018,$246M
Sacramento Kings,2018,$263M
San Antonio Spurs,2018,$262M
Toronto Raptors,2018,$275M
Utah Jazz,2018,$243M
Washington Wizards,2018,$255M
Atlanta Hawks,2019,$251M
Boston Celtics,2019,$304M
Brooklyn Nets,2019,$304M
Charlotte Hornets,2019,$240M
Chicago Bulls,2019,$301M
Cleveland Cavaliers,2019,$300M
Dallas Mavericks,2019,$307M
Denver Nuggets,2019,$252M
Detroit Pistons,2019,$255M
Golden State Warriors,2019,$440M
Houston Rockets,2019,$348M
Indiana Pacers,2019,$243M
Los Angeles Clippers,2019,$282M
Los Angeles Lakers,2019,$434M
Memphis Grizzlies,2019,$224M
Miami Heat,2019,$294M
Milwaukee Bucks,2019,$283M
Minnesota Timberwolves,2019,$234M
New Orleans Pelicans,2019,$224M
New York Knicks,2019,$472M
Oklahoma City Thunder,2019,$258M
Orlando Magic,2019,$244M
Philadelphia 76ers,2019,$300M
Phoenix Suns,2019,$246M
Portland Trail Blazers,2019,$287M
Sacramento Kings,2019,$286M
San Antonio Spurs,2019,$285M
Toronto Raptors,2019,$334M
Utah Jazz,2019,$258M
Washington Wizards,2019,$269M
Atlanta Hawks,2020,$222M
Boston Celtics,2020,$274M
Brooklyn Nets,2020,$280M
Charlotte Hornets,2020,$215M
Chicago Bulls,2020,$300M
Cleveland Cavaliers,2020,$269M
Dallas Mavericks,2020,$295M
Denver Nuggets,2020,$218M
Detroit Pistons,2020,$227M
Golden State Warriors,2020,$474M
Houston Rockets,2020,$308M
Indiana Pacers,2020,$217M
Los Angeles Clippers,2020,$262M
Los Angeles Lakers,2020,$400M
Memphis Grizzlies,2020,$210M
Miami Heat,2020,$266M
Milwaukee Bucks,2020,$239M
Minnesota Timberwolves,2020,$214M
New Orleans Pelicans,2020,$209M
New York Knicks,2020,$421M
Oklahoma City Thunder,2020,$236M
Orlando Magic,2020,$218M
Philadelphia 76ers,2020,$259M
Phoenix Suns,2020,$222M
Portland Trail Blazers,2020,$240M
Sacramento Kings,2020,$245M
San Antonio Spurs,2020,$255M
Toronto Raptors,2020,$264M
Utah Jazz,2020,$226M
Washington Wizards,2020,$231M
Atlanta Hawks,2021,$199M
Boston Celtics,2021,$211M
Brooklyn Nets,2021,$212M
Charlotte Hornets,2021,$183M
Chicago Bulls,2021,$213M
Cleveland Cavaliers,2021,$211M
Dallas Mavericks,2021,$231M
Denver Nuggets,2021,$185M
Detroit Pistons,2021,$192M
Golden State Warriors,2021,$258M
Houston Rockets,2021,$223M
Indiana Pacers,2021,$179M
Los Angeles Clippers,2021,$219M
Los Angeles Lakers,2021,$316M
Memphis Grizzlies,2021,$186M
Miami Heat,2021,$218M
Milwaukee Bucks,2021,$212M
Minnesota Timberwolves,2021,$199M
New Orleans Pelicans,2021,$181M
New York Knicks,2021,$298M
Oklahoma City Thunder,2021,$183M
Orlando Magic,2021,$188M
Philadelphia 76ers,2021,$236M
Phoenix Suns,2021,$206M
Portland Trail Blazers,2021,$201M
Sacramento Kings,2021,$192M
San Antonio Spurs,2021,$205M
Toronto Raptors,2021,$194M
Utah Jazz,2021,$262M
Washington Wizards,2021,$213M
Atlanta Hawks,2022,$326M
Boston Celtics,2022,$443M
Brooklyn Nets,2022,$367M
Charlotte Hornets,2022,$269M
Chicago Bulls,2022,$372M
Cleveland Cavaliers,2022,$348M
Dallas Mavericks,2022,$429M
Denver Nuggets,2022,$348M
Detroit Pistons,2022,$274M
Golden State Warriors,2022,$765M
Houston Rockets,2022,$381M
Indiana Pacers,2022,$263M
Los Angeles Clippers,2022,$425M
Los Angeles Lakers,2022,$516M
Memphis Grizzlies,2022,$258M
Miami Heat,2022,$371M
Milwaukee Bucks,2022,$329M
Minnesota Timberwolves,2022,$259M
New Orleans Pelicans,2022,$262M
New York Knicks,2022,$504M
Oklahoma City Thunder,2022,$267M
Orlando Magic,2022,$261M
Philadelphia 76ers,2022,$371M
Phoenix Suns,2022,$366M
Portland Trail Blazers,2022,$300M
Sacramento Kings,2022,$289M
San Antonio Spurs,2022,$319M
Toronto Raptors,2022,$305M
Utah Jazz,2022,$274M
Washington Wizards,2022,$323M
Atlanta Hawks,2023,$353M
Boston Celtics,2023,$457M
Brooklyn Nets,2023,$381M
Charlotte Hornets,2023,$308M
Chicago Bulls,2023,$414M
Cleveland Cavaliers,2023,$391M
Dallas Mavericks,2023,$437M
Denver Nuggets,2023,$356M
Detroit Pistons,2023,$305M
Golden State Warriors,2023,$800M
Houston Rockets,2023,$416M
Indiana Pacers,2023,$320M
Los Angeles Clippers,2023,$353M
Los Angeles Lakers,2023,$522M
Memphis Grizzlies,2023,$291M
Miami Heat,2023,$371M
Milwaukee Bucks,2023,$333M
Minnesota Timberwolves,2023,$305M
New Orleans Pelicans,2023,$272M
New York Knicks,2023,$543M
Oklahoma City Thunder,2023,$320M
Orlando Magic,2023,$285M
Philadelphia 76ers,2023,$396M
Phoenix Suns,2023,$369M
Portland Trail Blazers,2023,$335M
Sacramento Kings,2023,$320M
San Antonio Spurs,2023,$363M
Toronto Raptors,2023,$341M
Utah Jazz,2023,$318M
Washington Wizards,2023,$362M
Atlanta Hawks,2024,$384M
Boston Celtics,2024,$452M
Brooklyn Nets,2024,$389M
Charlotte Hornets,2024,$304M
Chicago Bulls,2024,$402M
Cleveland Cavaliers,2024,$406M
Dallas Mavericks,2024,$430M
Denver Nuggets,2024,$386M
Detroit Pistons,2024,$306M
Golden State Warriors,2024,$781M
Houston Rockets,2024,$402M
Indiana Pacers,2024,$339M
Los Angeles Clippers,2024,$351M
Los Angeles Lakers,2024,$528M
Memphis Grizzlies,2024,$299M
Miami Heat,2024,$394M
Milwaukee Bucks,2024,$350M
Minnesota Timberwolves,2024,$328M
New Orleans Pelicans,2024,$311M
New York Knicks,2024,$578M
Oklahoma City Thunder,2024,$321M
Orlando Magic,2024,$317M
Philadelphia 76ers,2024,$394M
Phoenix Suns,2024,$377M
Portland Trail Blazers,2024,$339M
Sacramento Kings,2024,$425M
San Antonio Spurs,2024,$344M
Toronto Raptors,2024,$349M
Utah Jazz,2024,$367M
Washington Wizards,2024,$357M
